koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,label
CANDIDATE,0,0,0,0,119.0624882,0.0001479,-0.0001479,149.22223,0.00104,-0.00104,2454982.222,0.00104,-0.00104,0.968,0.423,-0.045,3.1188,0.0589,-0.0589,5372.3,94.1,-94.1,0.103475,0.372356,-0.022334,4.92398,13.86887,-1.3991,10.4,2.82,-1.89,0.4328,89.64,366.0,4.26,3.51,-1.74,154.5,72.5,-72.5,0.0,0.0,0.2865,0.3556,24.319216,71.34807,71.6,1,13.0,1.0,0.2035,5697.0,173.0,-173.0,4.392,0.171,-0.19,-0.52,0.3,-0.3,0.92,0.25,-0.167,0.76,0.123,-0.044,287.88812,39.078709,15.289,15.851,15.26,15.048,14.937,14.03,13.607,13.532,0.798,19.1925378,4.9e-06,39.078663,6e-05,-0.18,0.21,-0.17,0.22,0.0004,0.0023,0.0002,0.0029,0.12,0.1,-0.04,0.1,0.12,0.1,0.108,0.097,-0.04,0.087,0.115,0.094,2
CONFIRMED,0,0,0,0,8.70798309,2.927e-05,-2.927e-05,363.05638,0.00229,-0.00229,2455196.056,0.00229,-0.00229,0.063,0.418,-0.063,2.4904,0.0805,-0.0805,1419.6,53.6,-53.6,0.033251,0.001655,-0.000905,5.21951,0.2523,-2.23266,2.01,0.15,-0.06,0.0695,89.87,543.0,20.59,5.2,-2.59,27.56,1.3,-1.3,0.0,0.0,0.1496,0.5738,5.3565617,23.276466,28.1,3,100.0,1.0,0.5933,4362.0,87.0,-78.0,4.722,0.012,-0.051,-0.5,0.15,-0.15,0.554,0.042,-0.017,0.59,0.029,-0.029,293.80441,38.63913,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,0.0,19.586974,4.3e-06,38.638457,6.1e-05,0.53,0.18,-2.42,0.22,0.0,0.00032,-0.00128,0.0004,-0.88,0.29,5.61,0.64,5.68,0.66,0.32,0.17,0.26,0.26,0.42,0.21,0
CANDIDATE,0,0,0,0,14.8623076,0.0001304,-0.0001304,354.57297,0.00685,-0.00685,2455187.573,0.00685,-0.00685,0.324,0.143,-0.324,3.161,0.213,-0.213,840.0,62.5,-62.5,0.025982,0.001033,-0.002139,3.66619,0.84391,-1.63168,1.57,0.12,-0.05,0.0993,89.47,454.0,10.08,2.55,-1.26,34.98,8.1,-8.1,0.0,0.0,0.1496,0.5738,3.7422206,10.898724,14.4,3,57.0,3.0,0.2071,4362.0,87.0,-78.0,4.722,0.012,-0.051,-0.5,0.15,-0.15,0.554,0.042,-0.017,0.59,0.029,-0.029,293.80441,38.63913,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,0.005,19.586971,8.4e-06,38.63796,0.00012,0.41,0.35,-4.22,0.44,0.0001,0.00031,0.00066,0.00039,0.2,0.32,-0.96,0.59,0.98,0.58,0.66,0.32,-3.65,0.59,3.71,0.58,2
CONFIRMED,0,0,0,0,4.17634276,2.426e-05,-2.426e-05,352.99674,0.00392,-0.00392,2455185.997,0.00392,-0.00392,0.142,0.312,-0.142,2.335,0.128,-0.128,531.5,39.3,-39.3,0.020401,0.001346,-0.000788,2.86173,0.5138,-1.15207,1.23,0.1,-0.03,0.0426,89.41,694.0,54.8,13.83,-6.9,13.82,2.5,-2.5,0.0,0.0,0.1496,0.5738,2.9074745,12.624357,14.9,3,202.0,2.0,0.8497,4362.0,87.0,-78.0,4.722,0.012,-0.051,-0.5,0.15,-0.15,0.554,0.042,-0.017,0.59,0.029,-0.029,293.80441,38.63913,15.842,16.893,15.784,15.391,15.148,14.091,13.434,13.378,0.141,19.5869725,7.9e-06,38.63832,0.00011,0.47,0.33,-2.91,0.4,4e-05,0.00019,-0.00024,0.00023,-1.01,0.43,4.26,0.84,4.37,0.88,-0.2,0.28,0.05,0.4,0.2,0.31,0
CONFIRMED,0,0,0,0,27.40229859,5.136e-05,-5.136e-05,133.6284,0.0015,-0.0015,2454966.628,0.0015,-0.0015,0.022,0.296,-0.022,6.8491,0.0479,-0.0479,747.5,10.0,-10.0,0.025079,0.000372,-0.000186,0.77467,0.01532,-0.12934,3.63,0.67,-0.56,0.1839,89.96,734.0,68.46,35.02,-23.47,31.329,0.62,-0.62,0.0,0.0,0.305,0.3201,10.937192,49.846386,79.3,4,49.0,3.0,0.4083,6198.0,111.0,-136.0,4.237,0.13,-0.117,-0.04,0.15,-0.15,1.324,0.247,-0.202,1.101,0.109,-0.081,300.51712,44.38158,13.914,14.273,13.879,13.761,13.741,12.913,12.653,12.606,0.96,20.034496,5.2e-06,44.381547,5.1e-05,0.8,0.2,-0.12,0.18,-3e-05,0.00015,-1e-05,0.00014,-0.08,0.12,0.07,0.14,0.1,0.14,-0.03,0.13,-0.01,0.1,0.03,0.13,0
CONFIRMED,0,0,0,0,3.179267286,3.255e-06,-3.255e-06,261.841607,0.000764,-0.000764,2455094.842,0.000764,-0.000764,0.171,0.274,-0.171,1.0246,0.0287,-0.0287,200.9,6.0,-6.0,0.012917,0.000373,-0.000349,24.82621,2.57683,-8.98556,1.21,0.14,-0.06,0.0418,89.59,1101.0,347.01,118.28,-58.22,23.67,2.5,-2.5,0.0,0.0,0.2291,0.4603,5.120073,41.68947,41.0,1,421.0,1.0,0.9321,5511.0,98.0,-120.0,4.554,0.018,-0.102,0.1,0.15,-0.15,0.857,0.101,-0.04,0.96,0.039,-0.073,295.57416,42.806438,12.55,13.072,12.48,12.327,12.169,11.234,10.837,10.777,0.936,19.704948,5e-06,42.806418,5.7e-05,0.16,0.2,-0.08,0.2,3e-06,3.6e-05,7e-06,3.7e-05,-0.19,0.19,0.3,0.18,0.36,0.18,-0.08,0.2,0.27,0.18,0.28,0.18,0
CONFIRMED,0,0,0,0,10.38122447,2.131e-05,-2.131e-05,268.02421,0.00149,-0.00149,2455101.024,0.00149,-0.00149,0.319,0.117,-0.319,2.715,0.0552,-0.0552,801.5,21.5,-21.5,0.025572,0.000552,-0.000833,4.05514,0.75488,-1.22522,2.18,0.15,-0.1,0.0871,89.36,672.0,48.37,11.58,-7.64,28.48,5.3,-5.3,0.0,0.0,0.153,0.5684,12.495703,68.87667,41.9,2,130.0,1.0,0.6468,5095.0,101.0,-101.0,4.566,0.032,-0.052,0.02,0.15,-0.15,0.78,0.055,-0.035,0.816,0.047,-0.041,291.36478,37.609169,13.562,14.271,13.495,13.259,13.118,12.127,11.672,11.585,0.0,19.4243148,3.7e-06,37.6091,5.6e-05,-0.14,0.16,-0.25,0.2,0.00028,0.00013,-0.00027,0.00016,-0.022,0.085,0.06,0.12,0.06,0.12,-0.009,0.087,0.24,0.13,0.24,0.13,0
CONFIRMED,0,0,0,0,24.5709023,0.0001009,-0.0001009,135.87209,0.0033,-0.0033,2454968.872,0.0033,-0.0033,0.945,0.009,-0.674,3.587,0.181,-0.181,764.2,31.7,-31.7,0.033128,1.5e-05,-0.007448,0.32657,6.93801,-0.07636,2.82,0.2,-0.12,0.1547,87.52,505.0,15.33,3.68,-2.42,21.8,10.8,-10.8,0.0,0.0,0.153,0.5684,8.849417,34.57784,26.3,2,50.0,2.0,0.7132,5095.0,101.0,-101.0,4.566,0.032,-0.052,0.02,0.15,-0.15,0.78,0.055,-0.035,0.816,0.047,-0.041,291.36478,37.609169,13.562,14.271,13.495,13.259,13.118,12.127,11.672,11.585,0.036,19.4243243,6.9e-06,37.60914,0.0001,0.27,0.3,-0.12,0.37,-4e-05,0.00021,-0.00032,0.00026,0.08,0.12,0.23,0.16,0.24,0.16,0.09,0.12,0.42,0.18,0.43,0.18,0
FALSE POSITIVE,0,0,0,0,81.221876,0.0001915,-0.0001915,184.26164,0.00128,-0.00128,2455017.262,0.00128,-0.00128,1.01,1.522,-0.1118,4.1135,0.0742,-0.0742,9883.0,174.0,-174.0,0.173832,1.493876,-0.066171,2.10745,1.53706,-0.45168,16.59,6.95,-1.27,0.362,89.38,385.0,5.2,6.62,-1.24,90.2,32.9,-32.9,0.0,0.0,0.2466,0.43,,,63.0,4,,,,5619.0,173.0,-156.0,4.536,0.03,-0.291,0.02,0.22,-0.26,0.874,0.366,-0.067,0.956,0.088,-0.092,296.38229,48.045311,15.488,16.084,15.416,15.233,15.129,14.11,13.804,13.859,,,,,,,,,,,,,,,,,,,,,,,,,,1
FALSE POSITIVE,0,0,1,1,0.817026268,4.35e-07,-4.35e-07,132.835239,0.000458,-0.000458,2454965.835,0.000458,-0.000458,0.01,0.279,-0.01,2.0799,0.0156,-0.0156,1145.5,10.8,-10.8,0.030636,0.000402,-0.000168,0.88636,0.00849,-0.13267,2.92,0.83,-0.26,0.0169,89.82,1784.0,2386.13,2041.12,-634.48,3.1507,0.0302,-0.0302,0.0,0.0,0.2327,0.4526,46.610794,94.88382,121.1,4,1304.0,1.0,-1.0,5619.0,169.0,-169.0,4.536,0.035,-0.196,0.02,0.25,-0.3,0.874,0.248,-0.078,0.956,0.095,-0.104,296.38229,48.045311,15.488,16.084,15.416,15.233,15.129,14.11,13.804,13.859,0.0,19.76013,1.6e-05,48.02388,0.00018,47.36,0.59,-77.16,0.65,-0.0092,0.00011,0.01487,0.00013,3.812,0.067,-5.713,0.068,6.868,0.067,3.621,0.069,-6.079,0.067,7.076,0.067,1
CONFIRMED,0,0,0,0,3.024092505,2.25e-07,-2.25e-07,132.4168573,6.22e-05,-6.22e-05,2454965.417,6.22e-05,-6.22e-05,0.424,0.031,-0.046,2.8021,0.0103,-0.0103,7765.0,8.6,-8.6,0.081878,0.000278,-0.000412,1.15632,0.07312,-0.06091,12.14,0.79,-0.95,0.0438,87.05,1489.0,1162.54,252.01,-267.02,8.238,0.521,-0.521,0.0,0.0,0.2799,0.381,118.40247,1388.9977,1225.3,1,446.0,1.0,0.2361,6063.0,108.0,-145.0,4.261,0.055,-0.045,0.34,0.1,-0.15,1.358,0.088,-0.107,1.227,0.05,-0.082,285.24084,46.668251,13.958,14.352,13.885,13.79,13.766,12.858,12.605,12.549,0.0,19.01605813,1.8e-07,46.6682605,2e-06,0.0308,0.0068,0.038,0.0072,-0.00017,0.00014,-0.00027,0.00019,-0.007,0.067,0.009,0.067,0.011,0.067,-0.013,0.071,0.006,0.068,0.015,0.071,0
FALSE POSITIVE,0,0,1,0,5.670155713,5.441e-06,-5.441e-06,136.201739,0.000777,-0.000777,2454969.202,0.000777,-0.000777,1.267,66.56,-0.225,0.9361,0.0608,-0.0608,536.7,19.6,-19.6,0.292493,66.55111,-0.221118,1.00118,678.01117,-0.23572,5.85,2.81,-1.22,0.034,83.91,341.0,3.21,4.86,-1.33,11.94,6.0,-6.0,0.0,0.0,0.4341,0.2646,4.4484825,26.999758,37.3,1,232.0,1.0,0.8116,3337.0,115.0,-57.0,5.126,0.104,-0.127,-0.46,0.3,-0.25,0.183,0.088,-0.038,0.164,0.103,-0.034,292.26181,41.442554,13.783,14.891,13.759,13.308,,11.494,10.924,10.675,0.0,19.4842098,7.9e-06,41.442161,8.1e-05,3.6,0.32,-1.41,0.29,-0.00149,0.00016,0.00131,0.00015,2.514,0.091,-2.209,0.09,3.346,0.097,3.055,0.094,-0.84,0.11,3.168,0.1,1
CONFIRMED,0,0,0,0,1.022678654,2.712e-06,-2.712e-06,133.45422,0.00223,-0.00223,2454966.454,0.00223,-0.00223,0.019,0.45,-0.019,1.3712,0.0727,-0.0727,129.2,7.2,-7.2,0.010229,0.000547,-0.000298,3.5012,0.16436,-1.63864,1.14,0.13,-0.16,0.019,89.81,1734.0,2138.47,685.73,-647.56,5.785,0.272,-0.272,0.0,0.0,0.186,0.5256,4.4157825,18.100561,21.6,1,1306.0,1.0,1.0,5366.0,80.0,-72.0,4.363,0.138,-0.08,0.16,0.15,-0.15,1.02,0.118,-0.145,0.875,0.064,-0.032,296.68045,41.38652,14.803,15.366,14.747,14.561,14.467,13.502,13.16,13.043,0.225,19.778715,1.9e-05,41.38642,0.00018,0.78,0.76,-0.36,0.63,-8.5e-05,9e-05,4.4e-05,7.5e-05,0.26,0.51,0.02,0.18,0.26,0.51,0.31,0.53,0.05,0.18,0.31,0.52,0
CONFIRMED,0,0,0,0,12.10968709,6.232e-05,-6.232e-05,140.21258,0.00386,-0.00386,2454973.213,0.00386,-0.00386,0.924,0.004,-0.661,6.3461,0.0954,-0.0954,284.7,8.9,-8.9,0.0187,8.6e-05,-0.002829,0.03281,0.41245,-0.00055,2.98,0.46,-0.69,0.1019,81.62,1005.0,240.8,106.82,-109.94,6.34,3.1,-3.1,0.0,0.0,0.2949,0.3354,4.463508,21.105242,33.4,4,110.0,1.0,0.8922,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.27,19.538972,1.1e-05,41.13552,0.00011,-0.06,0.45,0.27,0.41,6e-05,0.00011,-8e-05,0.0001,-0.32,0.36,-0.01,0.28,0.32,0.37,-0.28,0.34,-0.08,0.26,0.29,0.37,0
CONFIRMED,0,0,0,0,4.75796103,3.448e-05,-3.448e-05,137.69636,0.00618,-0.00618,2454970.696,0.00618,-0.00618,0.621,0.318,-0.391,4.66,0.157,-0.157,124.5,6.5,-6.5,0.010702,0.002047,-0.000458,0.20573,0.19919,-0.18342,1.7,0.27,-0.39,0.0547,84.31,1372.0,835.65,370.7,-381.5,6.27,3.0,-3.0,0.0,0.0,0.2949,0.3354,4.0748696,16.059935,20.9,4,271.0,2.0,0.3291,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.532,19.538981,1.5e-05,41.13534,0.00015,0.28,0.6,-0.37,0.54,-1.2e-05,7.6e-05,4e-05,6.9e-05,-0.36,0.33,-0.29,0.43,0.46,0.41,-0.32,0.3,-0.35,0.42,0.48,0.38,0
CONFIRMED,0,0,0,0,20.4972755,0.000334,-0.000334,147.43894,0.00968,-0.00968,2454980.439,0.00968,-0.00968,0.966,0.015,-0.673,8.536,0.406,-0.406,242.9,12.0,-12.0,0.018577,8.9e-05,-0.004021,0.00972,0.47328,-0.00489,2.96,0.46,-0.69,0.1447,80.73,843.0,119.42,52.97,-54.52,6.0,3.0,-3.0,0.0,0.0,0.2949,0.3354,4.1373324,10.584614,22.8,4,51.0,3.0,0.2111,6021.0,120.0,-120.0,4.093,0.195,-0.105,-0.34,0.15,-0.15,1.458,0.226,-0.339,0.96,0.088,-0.08,293.08463,41.135441,14.348,14.645,14.281,14.221,14.202,13.37,13.146,13.11,0.54,19.538991,1.8e-05,41.13547,0.00018,0.71,0.73,0.13,0.66,-0.0001,0.00014,-3e-05,0.00013,-0.31,0.73,-0.14,0.61,0.34,0.81,-0.27,0.71,-0.21,0.65,0.34,0.82,0
FALSE POSITIVE,0,0,1,0,13.55480534,7.92e-05,-7.92e-05,139.81609,0.00541,-0.00541,2454972.816,0.00541,-0.00541,0.497,0.457,-0.298,2.288,0.172,-0.172,48.3,3.6,-3.6,0.006462,0.000244,-0.000369,6.39782,5.88319,-1.2019,0.62,0.12,-0.07,0.1062,89.28,679.0,50.41,33.33,-15.75,39.6,18.2,-18.2,0.0,0.0,0.1959,0.5086,4.2934556,16.048447,16.5,2,76.0,2.0,0.2919,5370.0,187.0,-187.0,4.494,0.074,-0.137,0.04,0.25,-0.3,0.874,0.178,-0.096,0.869,0.097,-0.073,294.49011,38.194126,11.157,11.699,11.198,,,9.503,9.105,9.003,0.0,19.633207,2e-05,38.19217,0.00035,22.65,0.86,-7.1,1.3,-0.001162,4.5e-05,0.00039,6.6e-05,7.87,0.12,-2.72,0.12,8.33,0.14,8.31,0.12,-2.63,0.13,8.71,0.14,1
FALSE POSITIVE,0,1,0,0,29.74454668,2.697e-05,-2.697e-05,172.386652,0.000715,-0.000715,2455005.387,0.000715,-0.000715,0.337,0.012,-0.015,23.2842,0.0537,-0.0537,66894.0,103.0,-103.0,0.233128,0.000435,-0.000497,0.03339,0.0005,-0.00049,20.06,1.58,-1.58,0.1773,88.34,455.0,10.1,3.54,-2.65,11.602,0.174,-0.174,0.0,0.0,0.1405,0.5896,1381.6138,5430.748,765.0,1,47.0,1.0,0.0,4889.0,186.0,-169.0,4.569,0.036,-0.054,0.3,0.15,-0.3,0.788,0.062,-0.062,0.839,0.047,-0.073,297.75708,41.680454,11.753,12.872,11.739,11.273,,10.582,10.079,9.949,,19.850472328,1.3e-08,41.68046789,1.5e-07,-0.0271,0.00052,0.05359,0.00053,,,-0.03,0.045,-0.018,0.067,0.019,0.067,0.026,0.067,0.038,0.069,0.035,0.067,0.052,0.068,1
FALSE POSITIVE,0,1,0,0,14.15402428,2.024e-06,-2.024e-06,140.698466,0.000116,-0.000116,2454973.698,0.000116,-0.000116,1.1,0.021,-0.032,4.47001,0.006,-0.006,61625.0,76.9,-76.9,0.470267,0.014917,-0.028405,1.24625,0.00827,-0.01751,53.25,8.43,-5.18,0.1144,87.33,777.0,86.13,37.91,-21.41,23.632,0.157,-0.157,0.0,0.0,0.2622,0.4035,999.6867,6249.406,930.3,1,91.0,1.0,0.0367,5850.0,105.0,-117.0,4.404,0.08,-0.12,0.0,0.15,-0.15,1.037,0.164,-0.101,0.994,0.074,-0.066,290.35294,41.769741,12.932,13.413,12.87,12.726,12.642,11.749,11.339,11.321,0.0,19.356859141,8.6e-08,41.76973049,6.3e-07,-0.1152,0.0035,-0.0342,0.0023,0.0,3.3,0.0,4.4,-0.288,0.067,0.212,0.067,0.358,0.067,-0.094,0.067,0.021,0.068,0.097,0.067,1
FALSE POSITIVE,0,1,1,0,0.844786082,3.47e-07,-3.47e-07,134.216987,0.000351,-0.000351,2454967.217,0.000351,-0.000351,1.297,0.254,-0.207,3.5289,0.0217,-0.0217,2468.5,12.3,-12.3,0.353039,0.246291,-0.194194,0.08845,0.04851,-0.02644,35.27,9.14,-4.93,0.0167,29.79,1864.0,2846.03,2234.43,-983.23,1.494,0.41,-0.41,0.0,0.0,0.2711,0.3858,19.908804,53.333557,245.6,1,1583.0,1.0,0.5745,5705.0,172.0,-172.0,4.452,0.098,-0.182,-0.24,0.3,-0.3,0.915,0.237,-0.128,0.865,0.12,-0.08,298.71152,41.635792,15.363,15.969,15.336,15.103,15.015,14.041,13.613,13.606,0.0,19.9151481,6e-06,41.635309,5.6e-05,42.27,0.24,-1.73,0.2,-0.02391,0.00014,0.00088,0.00012,4.682,0.068,-1.143,0.067,4.819,0.068,4.684,0.069,-1.261,0.068,4.85,0.069,1
FALSE POSITIVE,0,1,0,0,0.848483947,2.24e-07,-2.24e-07,133.585301,0.000212,-0.000212,2454966.585,0.000212,-0.000212,1.264,2.358,-0.096,1.4451,0.0127,-0.0127,1907.4,12.9,-12.9,0.314173,2.337732,-0.092015,0.23097,1.98433,-0.0275,32.11,10.12,-3.36,0.0177,52.24,1908.0,3117.82,2903.46,-918.8,2.064,0.985,-0.985,0.0,0.0,0.2889,0.3511,6.7435603,37.517426,185.0,1,1571.0,1.0,1.0,5941.0,166.0,-187.0,4.504,0.04,-0.216,-0.08,0.25,-0.3,0.936,0.295,-0.098,1.019,0.132,-0.132,292.23679,41.7393,15.323,15.833,15.256,15.104,14.993,14.015,13.698,13.629,0.839,19.4824497,4.7e-06,41.739249,4.8e-05,-0.09,0.19,-0.18,0.17,-7e-05,0.00017,1e-05,0.00016,0.02,0.075,-0.057,0.069,0.06,0.07,-0.047,0.078,-0.163,0.073,0.17,0.076,1
FALSE POSITIVE,0,1,1,1,11.99097576,2.12e-05,-2.12e-05,143.28437,0.00146,-0.00146,2454976.284,0.00146,-0.00146,1.269,17.79,-0.101,5.7401,0.0726,-0.0726,2124.3,24.8,-24.8,0.320114,17.76438,-0.097257,0.02742,2.3075,-0.00263,37.47,11.15,-6.85,0.1006,77.64,880.0,141.63,128.26,-59.57,5.93,3.0,-3.0,0.0,0.0,0.2965,0.3342,26.137316,129.48871,102.8,1,107.0,1.0,0.9823,6110.0,192.0,-213.0,4.352,0.149,-0.182,-0.36,0.3,-0.3,1.072,0.319,-0.196,0.944,0.14,-0.102,296.29855,41.602718,14.977,15.46,14.935,14.77,14.653,13.735,13.395,13.38,0.0,19.7527558,2e-06,41.607758,2.1e-05,-19.389,0.082,18.137,0.077,0.0523,0.0015,-0.0494,0.0021,,,,,,,,,,,,,1
CONFIRMED,0,0,0,0,53.5292702,0.0002683,-0.0002683,147.86464,0.00349,-0.00349,2454980.865,0.00349,-0.00349,0.346,0.104,-0.346,5.668,0.122,-0.122,1086.1,35.7,-35.7,0.029542,0.000732,-0.001236,2.25989,0.60474,-0.46466,2.28,0.15,-0.08,0.2548,89.72,348.0,3.48,0.79,-0.49,70.0,18.7,-18.7,0.0,0.0,0.1054,0.6323,8.047535,26.765734,34.5,1,21.0,1.0,0.8336,4736.0,94.0,-94.0,4.624,0.012,-0.048,0.12,0.15,-0.15,0.708,0.046,-0.025,0.791,0.028,-0.052,293.74393,38.939281,14.887,15.765,14.815,14.511,14.363,13.341,12.843,12.706,,19.582941,1.2e-05,38.93922,0.00013,0.49,0.52,-0.23,0.49,-0.0004,0.00058,,,-0.17,0.24,0.12,0.16,0.2,0.17,-0.11,0.21,-0.06,0.16,0.12,0.23,0
FALSE POSITIVE,0,0,0,1,0.393726813,3.87e-07,-3.87e-07,133.310396,0.00083,-0.00083,2454966.31,0.00083,-0.00083,1.1898,0.1972,-0.0608,2.95,0.0999,-0.0999,564.6,8.7,-8.7,0.214695,0.192244,-0.058127,0.2247,0.09059,-0.05885,24.17,10.39,-2.3,0.0108,13.75,2705.0,12661.53,16030.98,-3683.52,1.226,0.494,-0.494,0.0,0.0,0.3036,0.3144,,,64.8,1,,,,6277.0,164.0,-222.0,4.449,0.049,-0.291,-0.18,0.22,-0.3,1.031,0.443,-0.098,1.085,0.214,-0.135,294.65121,38.636459,15.025,15.458,14.987,14.839,14.784,13.886,13.598,13.581,,,,,,,,,,,,,,,,,,,,,,,,,,1
CONFIRMED,0,0,0,0,2.757584622,6.935e-06,-6.935e-06,133.05017,0.00209,-0.00209,2454966.05,0.00209,-0.00209,0.093,0.352,-0.093,0.9267,0.0793,-0.0793,563.1,37.0,-37.0,0.021901,0.000626,-0.001319,30.83073,36.09737,-14.54978,1.01,0.11,-0.13,0.0296,89.77,615.0,33.79,10.93,-10.56,23.14,9.0,-9.0,0.0,0.0,0.426,0.2631,3.8556795,16.614893,19.6,1,490.0,1.0,0.6305,3683.0,73.0,-88.0,4.84,0.05,-0.055,-0.22,0.15,-0.15,0.424,0.045,-0.055,0.454,0.037,-0.064,292.57703,39.12088,15.597,17.076,15.742,14.962,14.561,13.409,12.758,12.611,0.045,19.50513,1.5e-05,39.12097,0.00015,-0.24,0.64,0.33,0.54,-0.00023,0.00034,-0.00035,0.0003,0.7,0.33,-0.12,0.32,0.71,0.3,0.24,0.31,-0.32,0.32,0.4,0.32,0
CONFIRMED,0,0,0,0,0.928310036,2.161e-06,-2.161e-06,133.80358,0.00185,-0.00185,2454966.804,0.00185,-0.00185,0.181,0.277,-0.181,1.1899,0.0617,-0.0617,376.2,20.5,-20.5,0.017601,0.000875,-0.000618,4.74015,1.05127,-1.81378,1.16,0.05,-0.06,0.0159,88.27,1115.0,365.72,66.38,-61.12,6.0,1.3,-1.3,0.0,0.0,0.188,0.5516,3.3591256,13.5764885,22.6,1,1443.0,1.0,0.848,4109.0,82.0,-82.0,4.672,0.022,-0.025,-0.02,0.15,-0.15,0.602,0.027,-0.03,0.621,0.028,-0.034,291.69247,38.572899,15.854,17.024,15.839,15.352,15.057,13.937,13.306,13.105,0.133,19.446187,1.6e-05,38.57294,0.00019,0.98,0.66,0.14,0.68,-0.00029,0.00023,-1e-05,0.00024,0.58,0.23,-0.01,0.16,0.58,0.23,0.71,0.24,0.05,0.18,0.71,0.24,0
CONFIRMED,0,0,0,0,13.48457668,2.3e-05,-2.3e-05,136.61808,0.00132,-0.00132,2454969.618,0.00132,-0.00132,0.011,0.319,-0.011,5.0197,0.0395,-0.0395,653.5,8.8,-8.8,0.023452,0.000375,-0.000179,0.96491,0.03273,-0.15881,3.39,0.63,-0.52,0.1146,89.97,929.0,176.29,90.17,-60.44,21.01,0.713,-0.713,0.0,0.0,0.305,0.3201,12.837913,58.810806,80.8,4,98.0,2.0,0.3395,6198.0,111.0,-136.0,4.237,0.13,-0.117,-0.04,0.15,-0.15,1.324,0.247,-0.202,1.101,0.109,-0.081,300.51712,44.38158,13.914,14.273,13.879,13.761,13.741,12.913,12.653,12.606,0.209,20.0344908,4.8e-06,44.381514,4.8e-05,0.6,0.19,-0.24,0.17,0.00011,0.00012,7e-05,0.00012,-0.25,0.15,-0.16,0.15,0.3,0.16,-0.2,0.14,-0.25,0.15,0.32,0.16,0
CONFIRMED,0,0,0,0,31.8841473,0.0002099,-0.0002099,160.20696,0.00453,-0.00453,2454993.207,0.00453,-0.00453,0.938,0.007,-0.682,6.122,0.217,-0.217,910.0,37.4,-37.4,0.03477,1.3e-05,-0.007395,0.09877,1.68123,-0.00594,3.7,0.6,-0.2,0.1994,86.92,563.0,23.82,10.12,-3.76,17.44,8.5,-8.5,0.0,0.0,0.2602,0.4096,7.0771694,21.641197,25.3,3,31.0,1.0,0.9228,5779.0,78.0,-86.0,4.477,0.032,-0.128,0.14,0.15,-0.15,0.974,0.158,-0.053,1.037,0.056,-0.068,293.56815,39.03632,15.368,15.857,15.297,15.159,15.047,14.234,13.867,13.838,0.004,19.571223,1.6e-05,39.03662,0.00019,0.57,0.66,1.08,0.67,-0.0004,0.00061,-0.00105,0.00063,0.15,0.18,-0.31,0.24,0.34,0.23,0.33,0.19,-0.24,0.22,0.41,0.2,0
