koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,label
CONFIRMED,0,0,0,0,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,2454955.763,8.7e-06,-8.7e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231.0,4.2,-4.2,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,13.04,0.51,-0.51,0.0354,84.41,1339.0,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,0.0,0.0,0.2676,0.3928,544.1701,6468.04,4304.3,1,432.0,1.0,0.1522,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0.0,19.12056404,4.6e-08,49.31642961,4.9e-07,-0.0232,0.0016,0.1066,0.0018,-0.00012,0.00012,0.00078,0.00019,-0.009,0.068,-0.3,0.16,0.3,0.16,0.015,0.069,-0.27,0.17,0.27,0.17,0
CONFIRMED,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,2454954.359,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,0.075522,0.000298,-0.00035,0.37936,0.02846,-0.02633,16.1,0.81,-0.91,0.0376,87.21,2048.0,4148.92,651.59,-654.46,4.602,0.345,-0.345,0.0,0.0,0.3168,0.2958,232.27,3862.1846,5945.9,1,611.0,1.0,0.0,6440.0,76.0,-89.0,4.019,0.033,-0.027,0.14,0.15,-0.15,1.952,0.099,-0.11,1.449,0.07,-0.091,292.24728,47.969521,10.463,10.935,10.49,,,9.555,9.344,9.334,,19.483163025,5.9e-08,47.96930831,6.3e-07,0.3986,0.0021,-0.7585,0.0023,-0.001754,3.8e-05,,,2.22,0.57,-3.29,0.5,3.97,0.7,2.02,0.69,-3.67,0.51,4.19,0.75,0
CONFIRMED,0,0,0,0,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,2454954.119,4.71e-05,-4.71e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,14.59,1.11,-1.11,0.0473,85.2,1521.0,1264.67,307.23,-276.48,7.541,0.171,-0.171,0.0,0.0,0.305,0.3201,130.83832,1725.5824,1741.5,1,384.0,1.0,0.6662,6225.0,112.0,-137.0,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,281.28812,42.45108,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.0,18.75252746,2.2e-07,42.4510634,2.1e-06,-0.5515,0.0087,-0.0597,0.0075,1e-05,0.00017,0.00036,0.00021,0.014,0.067,-0.013,0.067,0.02,0.067,-0.028,0.067,0.176,0.068,0.178,0.068,0
CONFIRMED,0,0,0,0,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,2454966.983,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3.0,-3.0,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,1.16,0.17,-0.12,0.0465,89.73,1206.0,500.46,197.96,-130.54,10.888,0.398,-0.398,0.0,0.0,0.2622,0.4035,4.8657312,41.28873,50.6,2,352.0,2.0,0.605,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,295.64871,48.49556,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367,0.009,19.709924,7.6e-06,48.495685,7.9e-05,0.36,0.27,0.45,0.28,-4.6e-05,3.4e-05,-5e-05,3.6e-05,0.24,0.16,-0.15,0.28,0.29,0.2,0.16,0.16,-0.13,0.27,0.21,0.21,0
FALSE POSITIVE,0,1,0,0,11.521446064,1.98e-06,-1.98e-06,170.839688,0.000131,-0.000131,2455003.84,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984.0,31.9,-31.9,1.625358,2.847129,-0.663339,1.27376,2.30242,-0.41065,150.51,39.76,-13.31,0.0978,83.13,753.0,75.88,58.89,-19.99,20.75,9.4,-9.4,0.0,0.0,0.2711,0.3858,92.901566,628.3708,622.1,1,96.0,1.0,0.154,5795.0,155.0,-172.0,4.554,0.033,-0.176,-0.2,0.25,-0.3,0.848,0.224,-0.075,0.938,0.098,-0.109,297.07993,47.597401,15.472,15.994,15.419,15.249,15.153,14.248,13.831,13.827,0.895,19.80533055,6.5e-07,47.5973894,6.4e-06,0.068,0.024,-0.038,0.023,0.0,0.0015,0.0001,0.0022,0.009,0.067,-0.009,0.067,0.013,0.067,0.147,0.067,0.037,0.07,0.151,0.067,1
FALSE POSITIVE,0,1,0,0,19.40393776,2.068e-05,-2.068e-05,172.484253,0.000842,-0.000842,2455005.484,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,0.096729,0.000533,-0.000532,0.03785,0.00107,-0.00172,7.18,0.76,-0.68,0.123,84.93,523.0,17.69,6.66,-4.88,9.099,0.257,-0.257,0.0,0.0,0.1908,0.5172,49.468765,320.90817,214.7,1,71.0,1.0,0.806,5043.0,151.0,-151.0,4.591,0.072,-0.048,-0.54,0.35,-0.3,0.68,0.072,-0.065,0.657,0.085,-0.036,289.25821,47.635319,15.487,16.229,15.44,15.169,14.985,13.95,13.429,13.287,0.048,19.28388234,6.4e-07,47.6353187,5.8e-06,0.038,0.023,-0.005,0.021,-0.00038,0.00087,-0.0002,0.0013,-0.001,0.067,0.009,0.068,0.009,0.068,-0.147,0.068,-0.038,0.069,0.152,0.068,1
FALSE POSITIVE,0,1,0,0,19.221388942,1.123e-06,-1.123e-06,184.5521637,4.5e-05,-4.5e-05,2455017.552,4.5e-05,-4.5e-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284.0,21.9,-21.9,0.476633,0.024501,-0.027744,1.57359,0.00657,-0.02917,49.29,16.03,-5.0,0.1417,88.05,698.0,55.97,54.55,-16.4,31.323,0.131,-0.131,0.0,0.0,0.2916,0.3447,387.658,2174.4263,2317.0,2,55.0,1.0,0.0003,6117.0,182.0,-200.0,4.496,0.052,-0.208,-0.22,0.25,-0.35,0.947,0.308,-0.096,1.025,0.139,-0.139,295.81454,47.69035,15.341,15.798,15.293,15.145,15.053,14.2,13.863,13.727,0.0,19.7209653,1.5e-07,47.6902759,1.6e-06,-0.1235,0.0055,-0.2667,0.0056,-0.0005,0.009,-0.002,0.013,0.003,0.067,0.005,0.067,0.006,0.067,-0.018,0.068,-0.203,0.067,0.203,0.067,1
FALSE POSITIVE,0,1,0,0,16.46983774,1.361e-05,-1.361e-05,180.881761,0.000623,-0.000623,2455013.882,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479.0,39.9,-39.9,0.092509,0.000598,-0.001109,0.19353,0.02009,-0.01907,7.94,0.89,-0.89,0.1147,88.81,595.0,29.61,12.01,-8.91,14.05,1.5,-1.5,0.0,0.0,0.2075,0.49,43.1625,258.8247,303.4,1,66.0,1.0,0.0112,5152.0,168.0,-153.0,4.517,0.088,-0.072,-0.2,0.3,-0.3,0.786,0.088,-0.088,0.741,0.106,-0.057,297.15442,47.668701,15.788,16.529,15.724,15.47,15.29,14.176,13.688,13.555,0.0,19.81029277,8.7e-07,47.6686305,9.5e-06,-0.092,0.032,-0.25,0.034,0.0007,0.0013,0.0008,0.0019,-0.04,0.068,-0.004,0.067,0.04,0.068,0.017,0.07,0.001,0.072,0.017,0.071,1
CONFIRMED,0,0,0,0,9.27358173,1.037e-05,-1.037e-05,173.258155,0.000877,-0.000877,2455006.258,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,0.032563,0.003061,-0.00063,1.93557,0.52971,-0.14046,2.47,0.2,-0.24,0.0759,88.93,649.0,41.85,12.49,-11.7,20.65,5.6,-5.6,0.0,0.0,0.1263,0.6019,9.616924,71.48005,87.2,1,144.0,1.0,0.0504,4856.0,131.0,-146.0,4.583,0.065,-0.035,-0.3,0.3,-0.3,0.696,0.056,-0.068,0.676,0.088,-0.047,288.13824,47.724449,15.302,16.111,15.24,14.955,14.765,13.672,13.12,13.033,0.037,19.2092154,5.3e-06,47.724506,4.6e-05,-0.05,0.19,0.2,0.16,0.00034,0.00024,0.00019,0.00022,-0.059,0.085,-0.008,0.073,0.059,0.085,0.042,0.084,0.344,0.081,0.346,0.081,0
CONFIRMED,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,2455004.603,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,0.038838,0.001021,-0.001203,13.09803,1.84066,-3.66782,2.85,0.26,-0.15,0.0585,89.5,678.0,50.04,16.4,-9.88,29.31,4.1,-4.1,0.0,0.0,0.0628,0.6908,6.876831,52.36939,65.4,1,215.0,1.0,1.0,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.21,0.2,-0.3,0.672,0.062,-0.036,0.761,0.033,-0.067,283.71088,47.86327,15.784,16.838,15.758,15.332,15.1,14.001,13.37,13.231,0.77,18.9140505,6.1e-06,47.863205,5.8e-05,-0.32,0.22,-0.24,0.21,-0.00017,0.00043,-0.0001,0.00044,0.11,0.11,0.01,0.12,0.11,0.11,-0.19,0.11,-0.24,0.12,0.3,0.1,0
