model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,cohen_kappa,mcc,f1_confirmed,f1_false_positive,f1_candidate,roc_auc_macro,roc_auc_weighted
Random Forest,0.89419795221843,0.8367130861106764,0.8798714115359536,0.759194271410205,0.89419795221843,0.7784483661761264,0.8790432680056641,0.7962687780724824,0.8031288087630505,0.9226594301221168,0.9787234042553192,0.4339622641509434,0.9548592289564408,0.9670642644791396
SVM,0.8191126279863481,0.7329130785538732,0.842335431213535,0.7512583985975717,0.8191126279863481,0.7387748063420311,0.8289702920607538,0.6813044169783538,0.6838673094047945,0.845360824742268,0.9877300613496932,0.3832335329341317,0.8969746996443767,0.9176506533987748
Logistic Regression,0.8191126279863481,0.7550330301061295,0.8642460974836282,0.7962327904029495,0.8191126279863481,0.7633056164029219,0.8350330677810812,0.691673864053767,0.7009630313740818,0.8384146341463414,0.9907692307692308,0.4607329842931937,0.923843072617262,0.9366117366718038
Baseline CNN,0.8071672354948806,0.7371179521129868,0.850161779940869,0.7556828000911212,0.8071672354948806,0.7377999591945635,0.8243731868751333,0.666010975265303,0.6719134862600203,0.8417910447761194,0.9716088328075708,0.4,0.9077106206672496,0.92502289440237
Genesis CNN,0.856655290102389,0.7571028894378321,0.8493160696589099,0.7425626098101903,0.856655290102389,0.7489782470481202,0.8525215190710225,0.7332104821007561,0.7338967442605131,0.8898186889818689,0.978328173374613,0.3787878787878788,0.8787186115436714,0.9031311149168572
